"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.spring",0,0,0,8.0593220338983,4.1186440677966,2.0593220338983,2.0593220338983,2.0593220338983,0,0,0,0,0,0,0,0,0
"1981.month.summer",0,0,0,7.28813559322034,14.5762711864407,7.28813559322034,7.28813559322034,7.28813559322034,0,0,0,0,0,0,0,0,0
"1981.month.fall",0,0,0,0.889830508474576,1.77966101694915,0.889830508474576,0.889830508474576,0.889830508474576,0,0,0,0,0,0,0,0,0
"1981.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.spring",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.summer",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.fall",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.spring",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.summer",0,0,0,3.16666666666667,0.333333333333334,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0
"1983.month.fall",0,0,0,18.351282051282,0.702564102564102,0.351282051282051,0.351282051282051,0.351282051282051,0,0,0,0,0,0,0,0,0
"1983.month.winter",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.spring",0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
"1984.month.summer",0,0,0,12.7231638418079,1.44632768361582,0.72316384180791,0.72316384180791,0.72316384180791,0,0,2,0,0,0,0,0,0
"1984.month.fall",0,0,0,7,10.6666666666667,5.33333333333333,0,0,0,0,5,0,0,0,0,0,0
"1984.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.spring",0,0,0,13,18.6666666666667,9.33333333333334,0,0,0,0,0,0,0,0,0,0,0
"1985.month.summer",0,0,0,25,12.6666666666667,6.33333333333333,0,0,0,0,0,0,0,0,0,0,0
"1985.month.fall",0,0,0,12.1129943502825,4.22598870056498,2.11299435028249,2.11299435028249,2.11299435028249,0,0,0,0,0,0,0,0,0
"1985.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.spring",0,0,0,16.3512820512821,22.7025641025641,11.3512820512821,1.35128205128205,1.35128205128205,0,0,0,0,0,0,0,0,0
"1986.month.summer",0,0,0,26.6129943502825,1.22598870056497,0.612994350282486,0.612994350282486,0.612994350282486,0,0,0,0,0,0,0,0,0
"1986.month.fall",0,0,0,4.16666666666667,0.333333333333334,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0
"1986.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.spring",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.summer",0,0,0,36,10.6666666666667,5.33333333333334,2.16949152542373,2.16949152542373,0,0,0,0,0,0,0,0,0
"1987.month.fall",0,0,0,1,0.666666666666666,0.333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0
"1987.month.winter",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.spring",0,0,0,51,0.666666666666666,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
"1988.month.summer",0,0,0,47,0,4.21538461538462,0,0,0,0,0,0,0,0,0,0,0
"1988.month.fall",0,0,0,0.369230769230769,0.738461538461538,9.58461538461539,0.369230769230769,0.369230769230769,0,0,0,0,0,0,0,0,0
"1988.month.winter",0,0,0,0.166666666666667,0.333333333333334,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"1989.month.spring",0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.summer",0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.fall",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.winter",0,0,0,0,4.07179487179488,2.03589743589744,0,0,0,0,0,0,0,0,0,0,0
"1990.month.spring",0,0,0,18,0.738461538461538,1.47692307692308,0,0,0,0,0,0,0,0,0,0,0
"1990.month.summer",0,0,0,65,0,0,6.17796610169492,6.17796610169492,0,0,0,0,0,0,0,0,0
"1990.month.fall",0,0,0,0,57.4358974358975,103.871794871795,0,0,0,0,0,0,0,0,0,0,0
"1990.month.winter",0,0,0,0,12.9538461538462,25.9076923076923,0,0,0,0,0,0,0,0,0,0,0
"1991.month.spring",0,0,0,60.1186440677966,22.4526727509778,47.980182529335,27.8135593220339,27.8135593220339,0,0,0,0,0,0,0,0,0
"1991.month.summer",0,0,0,33,56.9128205128206,113.825641025641,29.8898305084746,89.6694915254238,0,0,0,0,0,0,0,0,0
"1991.month.fall",0,0,0,9,60.4102564102565,242.374358974359,7.00847457627119,7.00847457627119,0,0,0,0,0,0,0,0,0
"1991.month.winter",0,0,0,0,0,70.8307692307692,0,0,0,0,0,0,0,0,0,0,0
"1992.month.spring",0,0,0,65.1846153846154,121.425641025641,242.851282051282,10.5169491525424,10.5169491525424,0,0,0,0,0,0,0,0,0
"1992.month.summer",0,0,0,32.0564971751412,329.066840504129,711.387918296393,155.822729248153,155.822729248153,0,0,0,0,0,0,0,0,0
"1992.month.fall",0,0,0,0,402.338461538461,810.784615384615,498.587353324642,498.587353324642,0,0,0,0,0,0,0,0,0
"1992.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.spring",0,0,0,21,4,67.0949152542373,15.864406779661,15.864406779661,0,0,0,0,0,0,0,0,0
"1993.month.summer",0,0,0,30,267.733333333333,643.34802259887,295.709778357236,295.709778357236,0,0,0,0,0,0,0,0,0
"1993.month.fall",0,0,0,0,145.805128205128,291.610256410256,150.847327249022,150.847327249022,0,0,0,0,0,0,0,0,0
"1993.month.winter",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994.month.spring",0,0,0,29,3.33333333333334,133.435897435898,25.5338983050847,25.5338983050847,0,0,0,0,0,0,0,0,0
"1994.month.summer",0.25,0.25,0.25,12.25,279.497435897436,733.503346371143,291.890352020861,463.839504563234,0,0,0,0,0,0,0,0,0
"1994.month.fall",0,0,0,267.969230769231,587.892307692307,727.738461538461,494.152933507171,939.43220338983,0,0,0,0,0,0,0,0,0
"1994.month.winter",0,0,0,3.7316384180791,79.760712733594,148.326510212951,3.7316384180791,3.7316384180791,0,0,0,0,0,0,0,0,0
"1995.month.spring",0,0,0,1,176.215384615385,728.535332464146,87.1864406779661,87.1864406779661,0,0,0,0,0,0,0,0,0
"1995.month.summer",0,0,0,35,360.092307692309,1445.8925684485,211.584745762711,939.292698826597,0,0,0,0,0,0,0,0,0
"1995.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.winter",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996.month.spring",0,0,0,17,38.2666666666666,76.5333333333333,51.271186440678,153.813559322034,0,0,0,0,0,0,0,0,0
"1996.month.summer",0,0,0,149.753846153846,397.810256410257,663.866666666667,380.639765319426,872.088526727509,0,0,0,0,0,0,0,0,0
"1996.month.fall",0,0,0,0,166.410256410256,332.820512820513,152.652542372882,464.296610169492,0,0,0,0,0,0,0,0,0
"1996.month.winter",0,0,0,0,0,10.6779661016949,0,0,0,0,0,0,0,0,0,0,0
"1997.month.spring",0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997.month.summer",0,0,0,10,506.384876140809,1962.25006518904,460.127640156453,830.381877444589,0,0,0,0,0,0,0,0,0
"1997.month.fall",0,0,0,2,137.589743589744,907.618861364624,115.991525423729,346.635593220339,0,0,0,0,0,0,0,0,0
"1997.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998.month.spring",0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998.month.summer",0,0,0,25.3230769230769,280.828857018688,1552.5307257714,627.754237288136,482.85593220339,0,0,0,0,0,0,0,0,0
"1998.month.fall",0,0,0,2,152.553846153846,1299.42346805737,335.805867014341,597.041069100391,0,0,0,0,0,0,0,0,0
"1998.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1999.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1999.month.summer",0,0,0,30.1864406779661,609.32159930465,1773.94437201217,1187.27926988266,1500.9780964798,0,0,0,0,0,0,0,0,0
"1999.month.fall",0,0,0,29.8022598870057,238.886571056062,1072.70925684485,680.779834854411,780.169665362886,0,0,0,0,0,0,0,0,0
"1999.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000.month.spring",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000.month.summer",0,0,0,39.7824858757062,501.579052585832,268.01012603216,812.069448066058,1051.28770099957,0,0,0,0,0,0,0,0,0
"2000.month.fall",0,0,0,21.274011299435,431.339765319426,2100.82255541069,754.762798783138,1176.49161234246,0,0,0,0,0,0,0,0,0
"2000.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001.month.spring",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001.month.summer",0,0,0,164.630769230769,248.693698392003,1231.73811386354,325.271186440678,567.983050847458,0,0,0,0,0,0,0,0,0
"2001.month.fall",0,0,0,9.08474576271187,141.872055627988,448.907083876575,178.78813559322,213.313559322034,0,0,0,0,0,0,0,0,0
"2001.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2002.month.spring",0,0,0,13,0,3.10769230769231,0,0,0,0,0,0,0,0,0,0,0
"2002.month.summer",0,0,0,13.5112994350282,151.725162972621,1170.10599739244,328.37570621469,206.731638418079,0,0,0,0,0,0,0,0,0
"2002.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2002.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.spring",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.summer",0,0,0,5,200.891786179922,972.738722294654,365.491525423729,112.389830508475,0,0,0,0,0,0,0,0,0
"2003.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004.month.spring",0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004.month.summer",0,0,0,0,230.082051282052,1377.68039982616,644.533898305084,203.347457627119,0,0,0,0,0,0,0,0,0
"2004.month.fall",0,0,0,0,83.723076923077,336.449543676662,50.4406779661017,18.3728813559322,0,0,0,0,0,0,0,0,0
"2004.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005.month.spring",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005.month.summer",0,0,0,2,175.092307692308,1786.78409387223,697.401564537158,113.316818774446,0,0,0,0,0,0,0,0,0
"2005.month.fall",0,0,0,0,114.871794871795,626.820512820513,155.501303780965,143.213168187744,0,0,0,0,0,0,0,0,0
"2005.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006.month.spring",0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006.month.summer",0,0,0,150.949152542373,830.517948717948,1118.09430682312,1702.96023468058,179.265319426336,0,0,0,0,0,0,0,0,0
"2006.month.fall",0,0,0,0,18.6461538461538,51.3092568448501,9.50847457627119,9.50847457627119,0,0,0,0,0,0,0,0,0
"2006.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007.month.spring",0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007.month.summer",0,0,0,14.0310734463277,805.272403302911,2546.06905693177,993.126640591047,1017.31621034333,0,0,0,0,0,0,0,0,0
"2007.month.fall",0,0,0,0,12.2871794871795,98.574358974359,0,26,0,0,0,0,0,0,0,0,0
"2007.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008.month.spring",0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008.month.summer",0,0,0,0,128.666666666667,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0
"2008.month.fall",0,0,0,2.67231638418079,674.411560191221,1610.39756627553,443.226162538027,177.887179487179,0,0,0,0,0,0,0,0,0
"2008.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.spring",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.summer",0,0,0,3.17514124293785,182.168796175576,1044.66640591047,886.693394176445,282.059235115167,0,0,0,0,0,0,0,0,0
"2009.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010.month.spring",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010.month.summer",0,0,0,218.577357670578,233.498305084745,872.969361147327,100.733420252064,822.727683615819,0,0,0,0,0,0,0,0,0
"2010.month.fall",0,0,0,6.07062146892655,482.162885701869,1135.33242068666,512.646892655367,1214.56214689266,0,0,0,0,0,0,0,0,0
"2010.month.winter",0,0,0,0,64.3384615384615,72.6769230769231,0,0,0,0,0,0,0,0,0,0,0
"2011.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011.month.summer",0,0,0,10.1949152542373,164.548804867449,509.562929161235,337.61408083442,1279.21251629726,0,0,0,0,0,0,0,0,0
"2011.month.fall",0,0,0,6.98974358974359,256.121425467189,1277.4050412864,147.694958713603,1350.65089091699,0,0,0,0,0,0,0,0,0
"2011.month.winter",0,0,0,0,9.0974358974359,18.1948717948718,0,0,0,0,0,0,0,0,0,0,0
"2012.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012.month.summer",0,0,0,9.51977401129943,180.241460234681,814.827640156454,320.095002172968,614.605302042591,0,0,0,0,0,0,0,0,0
"2012.month.fall",0,0,0,10.0762711864407,368.448152976967,2358.9308561495,579.993481095176,1639.6889178618,0,0,0,0,0,0,0,0,0
"2012.month.winter",0,0,0,0,85.1794871794872,216.850499782703,164.757496740548,135.503259452412,0,0,0,0,0,0,0,0,0
"2013.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013.month.summer",0,0,0,0.22316384180791,947.324467622772,1182.76066927423,39.4774011299435,151.842459800087,0,0,0,0,0,0,0,0,0
"2013.month.fall",0,0,0,0,239.373750543242,2389.0875271621,601.47222946545,493.065449804433,0,0,0,0,0,0,0,0,0
"2013.month.winter",0,0,0,0,10.5025641025641,53.0051282051282,0,0,0,0,0,0,0,0,0,0,0
"2014.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014.month.summer",0,0,0,370.111647109952,689.703346371143,1266.20890916993,288.976314645806,1129.16040851804,0,0,0,0,0,0,0,0,0
"2014.month.fall",0,0,0,15.8135593220339,411.001651455889,1893.98948283355,299.016949152543,640.254237288136,0,0,0,0,0,0,0,0,0
"2014.month.winter",0,0,0,0,30.6082572794437,21.1487179487179,11.0169491525424,11.0169491525424,0,0,0,0,0,0,0,0,0
"2015.month.spring",0,0,0,0,0,0,8.01694915254237,5.33898305084746,0,0,0,0,0,0,0,0,0
"2015.month.summer",0,0,0,10.409604519774,280.339765319427,2274.07235984355,98.499565406345,233.601260321599,0,0,0,0,0,0,0,0,0
"2015.month.fall",0,0,0,42.7538461538462,937.64850065189,3150.95045632334,561.604954367667,509.307431551499,0,0,0,0,0,0,0,0,0
