"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",0,0,0,0,0,0,0,0,124446.868,43729.168,0,0,0,0,0,0,0
"1979.month.summer",0,0,0,0,0,0,0,0,219133.978,92531.306,0,0,0,0,0,0,0
"1979.month.fall",0,0,0,0,0,0,0,0,443238.467,216864.886,0,0,0,0,0,0,0
"1979.month.winter",0,0,0,0,0,0,0,0,211410.402,37732.401,0,0,0,0,0,0,0
"1980.month.spring",0,0,0,0,0,0,0,0,116934.041,46850.419,0,0,0,0,0,0,0
"1980.month.summer",0,0,0,0,0,0,0,0,223054.076,115834.481,0,0,0,0,0,0,0
"1980.month.fall",0,0,0,0,0,0,0,0,367791.991,143089.408,0,0,0,0,0,0,0
"1980.month.winter",0,0,0,0,0,0,0,0,190323.387,31731.784,0,0,0,0,0,0,0
"1981.month.spring",0,0,0,0,0,0,0,0,86544,19620,0,0,0,0,0,0,0
"1981.month.summer",0,0,0,0,0,0,0,0,140787,77278,0,0,0,0,0,0,0
"1981.month.fall",0,0,0,0,0,0,0,0,330049,140291,0,0,0,0,0,0,0
"1981.month.winter",0,0,0,0,0,0,0,0,132312,16769,0,0,0,0,0,0,0
"1982.month.spring",0,0,0,0,0,0,0,0,83558,15345,0,0,0,0,0,0,0
"1982.month.summer",0,0,0,0,0,0,0,0,115165,58469,0,0,0,0,0,0,0
"1982.month.fall",0,0,0,0,0,0,0,0,479255,172796,0,0,0,0,0,0,0
"1982.month.winter",0,0,0,0,0,0,0,0,199624,43177,0,0,0,0,0,0,0
"1983.month.spring",0,0,0,0,0,0,0,0,68754,37873,0,0,0,0,0,0,0
"1983.month.summer",0,0,0,0,0,0,0,0,129538,76165,0,0,0,0,0,0,0
"1983.month.fall",0,0,0,0,0,0,0,0,531981,242791,0,0,0,0,0,0,0
"1983.month.winter",0,0,0,0,0,0,0,0,185909,32440,0,0,0,0,0,0,0
"1984.month.spring",0,0,0,0,0,0,0,0,51130,22960,0,0,0,0,0,0,0
"1984.month.summer",0,0,0,0,0,0,0,0,51175,54995,0,0,0,0,0,0,0
"1984.month.fall",0,0,0,0,0,0,0,0,363545,146903,0,0,0,0,0,0,0
"1984.month.winter",0,0,0,0,0,0,0,0,168802,34880,0,0,0,0,0,0,0
"1985.month.spring",0,0,0,0,0,0,0,0,37344,46983,0,0,0,0,0,0,0
"1985.month.summer",0,0,0,0,0,0,0,0,123784,76656,0,0,0,0,0,0,0
"1985.month.fall",0,0,0,0,0,0,0,0,364122,220871,0,0,0,0,0,0,0
"1985.month.winter",0,0,0,0,0,0,0,0,127834,20917,0,0,0,0,0,0,0
"1986.month.spring",0,0,0,0,0,0,0,0,42461,14194,0,0,0,0,0,0,0
"1986.month.summer",0,0,0,0,0,0,0,0,130778,74685,0,0,0,0,0,0,0
"1986.month.fall",0,0,0,0,0,0,0,0,397551,261436,0,0,0,0,0,0,0
"1986.month.winter",0,0,0,0,0,0,0,0,172461,39438,0,0,0,0,0,0,0
"1987.month.spring",0,0,0,0,0,0,0,0,74981,39968,0,0,0,0,0,0,0
