"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.spring",0,0,0,0,0,0,0,0,0,0,64774,0,0,0,0,0,0
"1982.month.summer",0,0,0,0,0,0,0,0,0,0,234627,0,0,0,0,0,0
"1982.month.fall",0,0,0,0,0,0,0,0,0,0,220931,0,0,0,0,0,0
"1982.month.winter",0,0,0,0,0,0,0,0,0,0,39061,0,0,0,0,0,0
"1983.month.spring",0,0,0,0,0,0,0,0,0,0,19887,0,0,0,0,0,0
"1983.month.summer",0,0,0,0,0,0,0,0,0,0,215375,0,0,0,0,0,0
"1983.month.fall",0,0,0,0,0,0,0,0,0,0,219960,0,0,0,0,0,0
"1983.month.winter",0,0,0,0,0,0,0,0,0,0,78506,0,0,0,0,0,0
"1984.month.spring",0,0,0,0,0,0,0,0,0,0,94950,0,0,0,0,0,0
"1984.month.summer",0,0,0,0,0,0,0,0,0,0,264798,0,0,0,0,0,0
"1984.month.fall",0,0,0,0,0,0,0,0,0,0,236250,62311,0,0,0,0,0
"1984.month.winter",0,0,0,0,0,0,0,0,0,0,55090,0,0,0,0,0,0
"1985.month.spring",0,0,0,0,0,0,0,0,0,0,98676,0,0,0,0,0,0
"1985.month.summer",0,0,0,0,0,0,0,0,0,0,222050,0,0,0,0,0,0
"1985.month.fall",0,0,0,0,0,0,0,0,0,0,256159,57966,0,0,0,0,0
"1985.month.winter",0,0,0,0,0,0,0,0,0,0,51631,0,0,0,0,0,0
"1986.month.spring",0,0,0,0,0,0,0,0,0,0,82297,0,0,0,0,0,0
"1986.month.summer",0,0,0,0,0,0,0,0,0,0,198865,0,0,0,0,0,0
"1986.month.fall",0,0,0,0,0,0,0,0,0,0,242110,32555,0,0,0,0,0
"1986.month.winter",0,0,0,0,0,0,0,0,0,0,59699,0,0,0,0,0,0
"1987.month.spring",0,0,0,0,0,0,0,0,0,0,86467,0,0,0,0,0,0
"1987.month.summer",0,0,0,0,0,0,0,0,0,0,227600,9635,0,0,0,0,0
"1987.month.fall",0,0,0,0,0,0,0,0,0,0,210980,50323,0,0,0,0,0
"1987.month.winter",0,0,0,0,0,0,0,0,0,0,64584,0,0,0,0,0,0
"1988.month.spring",0,0,0,0,0,0,0,0,0,0,93065,0,0,0,0,0,0
"1988.month.summer",0,0,0,0,0,0,0,0,0,0,293821,0,0,0,0,0,0
"1988.month.fall",0,0,0,0,0,0,0,0,0,0,194590,44822,0,0,0,0,0
"1988.month.winter",0,0,0,0,0,0,0,0,0,0,73981,0,0,0,0,0,0
"1989.month.spring",0,0,0,0,0,0,0,0,0,0,88700,0,0,0,0,0,0
"1989.month.summer",0,0,0,0,0,0,0,0,0,0,219038,5542,0,0,0,0,0
"1989.month.fall",0,0,0,0,0,0,0,0,0,0,225230,63699,0,0,0,0,0
"1989.month.winter",0,0,0,0,0,0,0,0,0,0,70370,0,0,0,0,0,0
"1990.month.spring",0,0,0,0,0,0,0,0,0,0,78194,0,0,0,0,0,0
"1990.month.summer",0,0,0,0,0,0,0,0,0,0,225396,9412,0,0,0,0,0
"1990.month.fall",0,0,0,0,0,0,0,0,0,0,193158,66392,0,0,0,0,0
"1990.month.winter",0,0,0,0,0,0,0,0,0,0,28506,0,0,0,0,0,0
"1991.month.spring",0,0,0,0,0,0,0,0,0,0,62871,0,0,0,0,0,0
"1991.month.summer",0,0,0,0,0,0,0,0,0,0,161661,10499,0,0,0,0,0
"1991.month.fall",0,0,0,0,0,0,0,0,0,0,184844,77280,0,0,0,0,0
"1991.month.winter",0,0,0,0,0,0,0,0,0,0,43003,0,0,0,0,0,0
"1992.month.spring",0,0,0,0,0,0,0,0,0,0,80017,0,0,0,0,0,0
"1992.month.summer",0,0,0,0,0,0,0,0,0,0,203518,26320,0,0,0,0,0
"1992.month.fall",0,0,0,0,0,0,0,0,0,0,138553,88756,0,0,0,0,0
"1992.month.winter",0,0,0,0,0,0,0,0,0,0,37240,0,0,0,0,0,0
"1993.month.spring",0,0,0,0,0,0,0,0,0,0,75535,0,0,0,0,0,0
"1993.month.summer",0,0,0,0,0,0,0,0,0,0,212229,20694,0,0,0,0,0
"1993.month.fall",0,0,0,0,0,0,0,0,0,0,192983,63897,0,0,0,0,0
"1993.month.winter",0,0,0,0,0,0,0,0,0,0,17279,0,0,0,0,0,0
"1994.month.spring",0,0,0,0,0,0,0,0,0,0,58343,0,0,0,0,0,0
"1994.month.summer",0,0,0,0,0,0,0,0,0,0,197563,16843,5811,0,0,0,0
"1994.month.fall",0,0,0,0,0,0,0,0,0,0,167716,69949,10242,0,0,0,0
"1994.month.winter",0,0,0,0,0,0,0,0,0,0,17122,0,0,0,0,0,0
"1995.month.spring",0,0,0,0,0,0,0,0,0,0,38472,0,0,0,0,0,0
"1995.month.summer",0,0,0,0,0,0,0,0,0,0,130556,12900,4133,0,0,0,0
"1995.month.fall",0,0,0,0,0,0,0,0,0,0,137821,46673,8970,0,0,0,0
"1995.month.winter",0,0,0,0,0,0,0,0,0,0,16793,0,0,0,0,0,0
"1996.month.spring",0,0,0,0,0,0,0,0,0,0,30411,0,0,0,0,0,0
"1996.month.summer",0,0,0,0,0,0,0,0,0,0,125530,16605,3521,0,0,0,0
"1996.month.fall",0,0,0,0,0,0,0,0,0,0,132795,9171,0,0,0,0,0
"1996.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997.month.spring",0,0,0,0,0,0,0,0,0,0,40784,0,0,0,0,0,0
"1997.month.summer",0,0,0,0,0,0,0,0,0,0,86711,21446,6096,0,0,0,0
"1997.month.fall",0,0,0,0,0,0,0,0,0,0,134831,36739,6741,0,0,0,0
"1997.month.winter",0,0,0,0,0,0,0,0,0,0,10517,0,0,0,0,0,0
"1998.month.spring",0,0,0,0,0,0,0,0,0,0,27165,0,0,0,0,0,0
"1998.month.summer",0,0,0,0,0,0,0,0,0,0,66406,23506,8853,0,0,0,0
"1998.month.fall",0,0,0,0,0,0,0,0,0,0,69552,41100,8813,0,0,0,0
"1998.month.winter",0,0,0,0,0,0,0,0,0,0,3734,0,0,0,0,0,0
"1999.month.spring",0,0,0,0,0,0,0,0,0,0,15331,0,0,0,0,0,0
"1999.month.summer",0,0,0,0,0,0,0,0,0,0,77225,22137,10130,0,0,0,0
"1999.month.fall",0,0,0,0,0,0,0,0,0,0,70869,42665,11110,0,0,0,0
"1999.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000.month.spring",0,0,0,0,0,0,0,0,0,0,18214,0,0,0,0,0,0
"2000.month.summer",0,0,0,0,0,0,0,0,0,0,69657,33431,4870,9224,0,0,0
"2000.month.fall",0,0,0,0,0,0,0,0,0,0,83524,13797,5234,8859,0,0,0
"2000.month.winter",0,0,0,0,0,0,0,0,0,0,12392,0,0,0,0,0,0
"2001.month.spring",0,0,0,0,0,0,0,0,0,0,13343,0,0,0,0,0,0
"2001.month.summer",0,0,0,0,0,0,0,0,0,0,89897,22745,13915,6092,0,0,0
"2001.month.fall",0,0,0,0,0,0,0,0,0,0,89047,15456,8699,4734,0,0,0
"2001.month.winter",0,0,0,0,0,0,0,0,0,0,11455,0,0,0,0,0,0
"2002.month.spring",0,0,0,0,0,0,0,0,0,0,29087,1272,0,0,0,0,0
"2002.month.summer",0,0,0,0,0,0,0,0,0,0,94759,28896,6714,0,0,0,0
"2002.month.fall",0,0,0,0,0,0,0,0,0,0,82923,32181,6075,5016,0,0,0
"2002.month.winter",0,0,0,0,0,0,0,0,0,0,16250,0,0,0,0,0,0
"2003.month.spring",0,0,0,0,0,0,0,0,0,0,22326,85,0,0,0,0,0
"2003.month.summer",0,0,0,0,0,0,0,0,0,0,72381,28164,7616,6034,0,0,0
"2003.month.fall",0,0,0,0,0,0,0,0,0,0,80692,40521,7738,8024,0,0,0
"2003.month.winter",0,0,0,0,0,0,0,0,0,0,7770,0,2,0,0,0,0
"2004.month.spring",0,0,0,0,0,0,0,0,0,0,13118,117,0,0,0,0,0
"2004.month.summer",0,0,0,0,0,0,0,0,0,0,51926,30932,5710,8399,0,0,0
"2004.month.fall",0,0,0,0,0,0,0,0,0,0,56557,37531,7520,7968,0,0,0
"2004.month.winter",0,0,0,0,0,0,0,0,0,0,16030,13,2,0,0,0,0
"2005.month.spring",0,0,0,0,0,0,0,0,0,0,10068,0,0,0,0,0,0
"2005.month.summer",0,0,0,0,0,0,0,0,0,0,43405,24569,8300,7023,0,0,0
"2005.month.fall",0,0,0,0,0,0,0,0,0,0,46148,39643,6678,11669,0,0,0
"2005.month.winter",0,0,0,0,0,0,0,0,0,0,10613,0,0,0,0,0,0
"2006.month.spring",0,0,0,0,0,0,0,0,0,0,8831,138,0,4,0,0,0
"2006.month.summer",0,0,0,0,0,0,0,0,0,0,42480,23220,10704,8978,0,0,0
"2006.month.fall",0,0,0,0,0,0,0,0,0,0,53720,33925,11413,6918,0,0,0
"2006.month.winter",0,0,0,0,0,0,0,0,0,0,10364,1,0,0,0,0,0
"2007.month.spring",0,0,0,0,0,0,0,0,0,0,13679,0,2,0,0,0,0
"2007.month.summer",0,0,0,0,0,0,0,0,0,0,34863,13793,9501,7822,0,0,0
"2007.month.fall",0,0,0,0,0,0,0,0,0,0,57934,28146,11954,10151,0,0,0
"2007.month.winter",0,0,0,0,0,0,0,0,0,0,10948,0,0,0,0,0,0
"2008.month.spring",0,0,0,0,0,0,0,0,0,0,8397,1088,0,0,0,0,0
"2008.month.summer",0,0,0,0,0,0,0,0,0,0,33472,13685,10731,8972,0,0,0
"2008.month.fall",0,0,0,0,0,0,0,0,0,0,47157,27798,12068,5322,0,0,0
"2008.month.winter",0,0,0,0,0,0,0,0,0,0,11171,157,0,0,0,0,0
"2009.month.spring",0,0,0,0,0,0,0,0,0,0,16174,0,0,0,0,0,0
"2009.month.summer",0,0,0,0,0,0,0,0,0,0,46577,23847,10378,8303,0,0,0
"2009.month.fall",0,0,0,0,0,0,0,0,0,0,53227,25995,10354,7976,0,0,0
"2009.month.winter",0,0,0,0,0,0,0,0,0,0,8373,0,0,0,0,0,0
"2010.month.spring",0,0,0,0,0,0,0,0,0,0,9051,0,0,0,0,0,0
"2010.month.summer",0,0,0,0,0,0,0,0,0,0,39391,22707,10924,7744,0,0,0
"2010.month.fall",0,0,0,0,0,0,0,0,0,0,50470,22320,9218,8275,0,0,0
"2010.month.winter",0,0,0,0,0,0,0,0,0,0,2375,0,0,0,0,0,0
"2011.month.spring",0,0,0,0,0,0,0,0,0,0,13838,0,0,0,0,0,0
"2011.month.summer",0,0,0,0,0,0,0,0,0,0,39926,18312,12183,9827,0,0,0
"2011.month.fall",0,0,0,0,0,0,0,0,0,0,64252,28717,11948,7121,0,0,0
"2011.month.winter",0,0,0,0,0,0,0,0,0,0,7094,2,0,0,0,0,0
"2012.month.spring",0,0,0,0,0,0,0,0,0,0,17171,45,0,0,0,0,0
"2012.month.summer",0,0,0,0,0,0,0,0,0,0,43696,18246,10898,8315,0,0,0
"2012.month.fall",0,0,0,0,0,0,0,0,0,0,0,22224,11875,6609,0,0,0
"2012.month.winter",0,0,0,0,0,0,0,0,0,0,5444,0,0,0,0,0,0
"2013.month.spring",0,0,0,0,0,0,0,0,0,0,15574,0,0,0,0,0,0
"2013.month.summer",0,0,0,0,0,0,0,0,0,0,66271,16583,10608,5812,0,0,0
"2013.month.fall",0,0,0,0,0,0,0,0,0,0,67408,14361,10388,5361,0,0,0
"2013.month.winter",0,0,0,0,0,0,0,0,0,0,5817,0,0,0,0,0,0
"2014.month.spring",0,0,0,0,0,0,0,0,0,0,16754,0,0,0,0,0,0
"2014.month.summer",0,0,0,0,0,0,0,0,0,0,50671,20241,10682,8140,0,0,0
"2014.month.fall",0,0,0,0,0,0,0,0,0,0,84360,17868,9971,6304,0,0,0
"2014.month.winter",0,0,0,0,0,0,0,0,0,0,6527,0,0,0,0,0,0
"2015.month.spring",0,0,0,0,0,0,0,0,0,0,28249,0,5,0,0,0,0
"2015.month.summer",0,0,0,0,0,0,0,0,0,0,66458,21163,9132,7417,0,0,0
"2015.month.fall",0,0,0,0,0,0,0,0,0,0,75379,17877,10213,5963,0,0,0
