"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1992.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1992.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1992.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1992.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1995.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1996.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1997.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1998.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1999.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1999.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1999.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1999.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2000.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2002.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2002.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2002.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2002.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2005.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011.month.summer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011.month.fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011.month.winter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012.month.spring",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012.month.summer",0,0,0,0,0,0,0,0,0,0,48903.6378891,40179.171115,28641.3752889,35336.8350375,22630.5415192,0,0
"2012.month.fall",0,0,0,0,0,0,0,0,0,0,234959.979069,103990.46614099,45195.2705263,58531.3467721,26856.14681158,0,0
"2012.month.winter",0,0,0,0,0,0,0,0,0,0,72358.4968201,5854.6285996,1715.83656999,1985.40020861,3286.57480331,0,0
"2013.month.spring",0,0,0,0,0,0,0,0,0,0,33500.22988442,4221.61357086,1500.19321224,4780.56209757,3123.99887214,0,0
"2013.month.summer",0,0,0,0,0,0,0,0,0,0,121519.507876,56987.06475255,37046.18219389,36649.87320131,30636.36327208,0,0
"2013.month.fall",0,0,0,0,0,0,0,0,0,0,260459.3875166,62976.38134947,64315.11977675,61441.45321783,30784.45611193,0,0
"2013.month.winter",0,0,0,0,0,0,0,0,0,0,37903.41212236,5222.36664874,751.3977871,1809.59641956,1778.0559959,0,0
"2014.month.spring",0,0,0,0,0,0,0,0,0,0,45825.70633973,9012.17524342,754.64155266,5438.16300852,5685.86775514,0,0
"2014.month.summer",0,0,0,0,0,0,0,0,0,0,139747.4581287,63068.84040863,62222.68956107,62638.14347502,55878.51156539,0,0
"2014.month.fall",0,0,0,0,0,0,0,0,0,0,240724.22435808,74472.92812456,52694.38283898,63139.96806005,39360.52236559,0,0
"2014.month.winter",0,0,0,0,0,0,0,0,0,0,42069.16450099,4899.94469459,1401.42201525,2127.55935446,914.53896987,0,0
"2015.month.spring",0,0,0,0,0,0,0,0,0,0,53234.09307773,8942.76475571,1878.75990602,5954.13554041,5734.78977628,0,0
"2015.month.summer",0,0,0,0,0,0,0,0,0,0,124772.76267905,57577.8541512,40385.043536,56349.24958051,59805.21552655,0,0
"2015.month.fall",0,0,0,0,0,0,0,0,0,0,141302.91377439,51902.44612764,39451.00450397,52105.42029787,39379.62158501,0,0
