"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",3875,5205,2091,6493,710,307,1666.5,3084.5,0,0,9472,9640,1169,1317,3256,7212,14113
"1979.month.summer",4180,9900,13477,25950,12183,9015,6539.5,9334.5,0,0,10375,24670,10882,12854,12926,12366,23821
"1979.month.fall",1862,5080,9313,16722,10357,8411,8431.5,13661.5,0,0,7638,26996,11432,10666,8519,15828,29713
"1979.month.winter",0,0,0,0,202,1,1,0,0,0,25,1367,4,0,13,895,1216
"1980.month.spring",5949,7811,2829,8817,848,333,1931,2732,0,0,11415,10942,2056,2530,3785,7172,13921
"1980.month.summer",5468,9952,11740,4668,5256,3696,3490.5,6208.5,0,0,8540,25882,10013,13656,21592,10801,22216
"1980.month.fall",4489,5310,6485,8967,9339,8075,5458.5,7035.5,0,0,6696,26834,12733,10092,17905,11975,25103
"1980.month.winter",0,0,0,0,513,0,0,0,0,0,6,1983,204,99,79,1028,1962
"1981.month.spring",5139,4160,2958,6889,1210,1489,2720,2776,0,0,5112,9403,1852,2385,3626,6436,10930
"1981.month.summer",4046,10915,6624,6358,9202,10743,5001.5,6406.5,0,0,6697,15426,7846,11455,17774,11125,20645
"1981.month.fall",1952,6780,4471,8239,11622,7709,4117,6979,0,0,5457,22041,15174,12920,16138,8720,16393
"1981.month.winter",0,0,0,0,453,0,0,0,0,0,6,34,0,0,0,1540,2231
"1982.month.spring",6770,8257,2371,4106,1098,705,2797,1882,0,0,5116,9643,1732,1859,3168,4723,7906
"1982.month.summer",6119,12050,13604,9918,12374,7097,4481,7567,0,0,7534,26559,11374,9445,16617,11576,21678
"1982.month.fall",2940,11857,5477,9586,8289,1536,3.5,392.5,0,0,3774,22807,14228,6414,11586,880,1237
"1982.month.winter",0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,2575,4622
"1983.month.spring",5481,2809,868,1356,633,301,2471.5,2015.5,0,0,3513,9371,2162,2033,4167,4128,8121
"1983.month.summer",7446,4618,5092,8393,8464,5277,1143,2351,0,0,4717,23243,8221,9551,15883,11203,21314
"1983.month.fall",504,3139,1674,2081,1354,4333,1634.5,1192.5,0,0,3347,21641,12216,16237,14782,2159,3749
"1983.month.winter",0,0,0,0,118,20,0,0,0,0,0,0,0,0,0,4723,6568
"1984.month.spring",3238,478,574,1216,236,64,321,344,0,0,0,9055,2397,545,628,3967,8958
"1984.month.summer",6480,8684,4542,1696,1304,1168,0,0,0,0,3765,17981,8530,8288,12411,5759,16786
"1984.month.fall",433,10010,2764,2085,3153,1183,602,313,0,0,1300,19234,10773,8189,16902,684,1411
"1984.month.winter",0,0,0,0,209,7,0,0,0,0,0,0,0,0,0,2496,3657
"1985.month.spring",3218,5233,3647,0,1722,932,1807.5,1209.5,0,0,4,5746,2587,1161,2062,1747,3359
