"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",4510,15705,0,245,5077,2979,5051,16420,0,0,0,0,0,0,0,0,0
"1979.month.summer",716,31940,5581,21076,96202,56473,72641,106956,0,0,0,0,0,0,0,0,0
"1979.month.fall",568,37647,4239,8422,52398,44002,77615,81815,0,0,0,0,0,0,0,0,0
"1979.month.winter",3119,17762,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0
"1980.month.spring",1626,18281,0,0,2451,2144,5095,11890,0,0,0,0,0,0,0,0,0
"1980.month.summer",3766,26339,5075,32396,115490,81480,76741,103679,0,0,0,0,0,0,0,0,0
"1980.month.fall",1067,23714,1326,9886,35073,48078,67595,62317,0,0,0,0,0,0,0,0,0
"1980.month.winter",2109,9004,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0
"1981.month.spring",3077,12687,115,28,9313,3557,4054,7840,0,0,0,0,0,0,0,0,0
"1981.month.summer",1772,25300,5506,20635,89291,49564,59512,83492,0,0,0,0,0,0,0,0,0
"1981.month.fall",1081,26827,2476,9676,52062,62232,69952,56624,0,0,0,0,0,0,0,0,0
"1981.month.winter",3244,18142,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0
"1982.month.spring",4997,13024,85,18,462,271,0,2716,0,0,0,0,0,0,0,0,0
"1982.month.summer",2620,28108,6945,33586,104148,77813,75937,100742,0,0,0,0,0,0,0,0,0
"1982.month.fall",1673,40229,3325,14250,15821,0,13161,53356,0,0,0,0,0,0,0,0,0
"1982.month.winter",247,6873,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0
"1983.month.spring",4762,12193,11,13,835,0,270,3065,0,0,0,0,0,0,0,0,0
"1983.month.summer",3914,22087,6733,33005,83615,40275,48831,79794,0,0,0,0,0,0,0,0,0
"1983.month.fall",581,21708,1617,11505,42757,27591,45651,62906,0,0,0,0,0,0,0,0,0
"1983.month.winter",748,3435,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"1984.month.spring",6574,9265,5,16,0,0,337,3422,0,0,0,0,0,0,0,0,0
"1984.month.summer",5410,25240,4487,29949,37137,35788,5881,5984,0,0,0,0,0,0,0,0,0
"1984.month.fall",586,26408,1523,12647,41071,30758,16129,13337,0,0,0,0,0,0,0,0,0
"1984.month.winter",9689,16977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985.month.spring",4004,17486,61,8897,4556,0,0,11,0,0,0,0,0,0,0,0,0
"1985.month.summer",2835,28187,12751,42330,61674,37337,28578,37846,0,0,0,0,0,0,0,0,0
"1985.month.fall",1260,29473,2143,14652,56222,71773,31570,36829,0,0,0,0,0,0,0,0,0
"1985.month.winter",5907,12085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986.month.spring",13221,17654,243,2219,4336,1388,0,0,0,0,0,0,0,0,0,0,0
"1986.month.summer",12416,34507,10435,38111,69134,57629,33607,44268,0,0,0,0,0,0,0,0,0
"1986.month.fall",4628,28493,2596,14123,22877,11064,23581,28368,0,0,0,0,0,0,0,0,0
"1986.month.winter",13634,14816,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.spring",9505,21359,310,3646,2318,0,0,0,0,0,0,0,0,0,0,0,0
"1987.month.summer",16031,29724,10152,69122,83459,59407,27628,45807,0,0,0,0,0,0,0,0,0
"1987.month.fall",8489,41751,3508,25440,46167,46596,25774,19386,0,0,0,0,0,0,0,0,0
"1987.month.winter",9897,18469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988.month.spring",12293,24878,1710,3859,2189,1250,0,6,0,0,0,0,0,0,0,0,0
"1988.month.summer",15290,38029,12553,57785,82211,56765,17851,51292,0,0,0,0,0,0,0,0,0
"1988.month.fall",2434,28307,3503,15010,37646,64846,642,4795,0,0,0,0,0,0,0,0,0
"1988.month.winter",10440,15344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989.month.spring",25132,22589,1494,3478,3872,1240,444,2373,0,0,0,0,0,0,0,0,0
"1989.month.summer",14495,26613,12164,58542,92421,73136,33306,49842,0,0,0,0,0,0,0,0,0
"1989.month.fall",5647,28678,3887,14604,36431,39690,38855,37265,0,0,0,0,0,0,0,0,0
"1989.month.winter",13714,18905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990.month.spring",19029,19738,169,2123,1976,777,0,0,0,0,0,0,0,0,0,0,0
"1990.month.summer",27728,26790,12384,69261,70446,49368,41731,55469,0,0,0,0,0,0,0,0,0
"1990.month.fall",4243,24505,2093,9965,43719,54748,51622,51849,0,0,0,0,0,0,0,0,0
"1990.month.winter",9956,5670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991.month.spring",14975,13393,880,970,2124,1274,0,0,0,0,0,0,0,0,0,0,0
"1991.month.summer",22904,30611,18605,48717,86097,73001,39830,59707,0,0,0,0,0,0,0,0,0
