"","loc.01","loc.02","loc.03","loc.04","loc.05","loc.06","loc.07","loc.08","loc.09","loc.10","loc.11","loc.12","loc.13","loc.14","loc.15","loc.16","loc.17"
"1979.month.spring",0,0,0,0,0,0,0,33.5,0,56.75,0,0,0,0,0,0,0
"1979.month.summer",0,0,0,0,0,0,0,177,0,122,0,0,0,0,0,0,0
"1979.month.fall",0,0,0,0,0,0,0,161,0,96,0,0,0,0,0,0,0
"1979.month.winter",0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0
"1980.month.spring",0,0,0,0,0,0,0,22,0,245,0,0,0,0,0,0,0
"1980.month.summer",0,0,0,0,0,0,0,262,0,42,0,0,0,0,0,0,0
"1980.month.fall",0,0,0,0,0,0,0,72,0,35,0,0,0,0,0,0,0
"1980.month.winter",0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0
"1981.month.spring",0,0,0,0,0,0,0,24,0,431,0,0,0,0,0,0,0
"1981.month.summer",0,0,0,0,0,0,0,255,0,139,0,0,0,0,0,0,0
"1981.month.fall",0,0,0,0,0,0,0,355,0,166,0,0,0,0,0,0,0
"1981.month.winter",0,0,0,0,0,0,0,2,0,893,0,0,0,0,0,0,0
"1982.month.spring",0,0,0,0,0,0,0,26,0,545,0,0,0,0,0,0,0
"1982.month.summer",0,0,0,0,0,0,0,561,0,141,0,0,0,0,0,0,0
"1982.month.fall",0,0,0,0,0,0,0,1053,0,194,0,0,0,0,0,0,0
"1982.month.winter",0,0,0,0,0,0,0,0,0,1073,0,0,0,0,0,0,0
"1983.month.spring",0,0,0,0,0,0,0,34,0,895,0,0,0,0,0,0,0
"1983.month.summer",0,0,0,0,0,0,0,469,0,319,0,0,0,0,0,0,0
"1983.month.fall",0,0,0,0,0,0,0,901,0,177,0,0,0,0,0,0,0
"1983.month.winter",0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,0
"1984.month.spring",0,0,0,0,0,0,0,45,0,465,0,0,0,0,0,0,0
"1984.month.summer",0,0,0,0,0,0,0,217,0,110,0,0,0,0,0,0,0
"1984.month.fall",0,0,0,0,0,0,0,286,0,87,0,0,0,0,0,0,0
"1984.month.winter",0,0,0,0,0,0,0,1,0,681,0,0,0,0,0,0,0
"1985.month.spring",0,0,0,0,0,0,0,50,0,537,0,0,0,0,0,0,0
"1985.month.summer",0,0,0,0,0,0,0,370,0,111,0,0,0,0,0,0,0
"1985.month.fall",0,0,0,0,0,0,0,475,0,99,0,0,0,0,0,0,0
"1985.month.winter",0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0
"1986.month.spring",0,0,0,0,0,0,0,64,0,547,0,0,0,0,0,0,0
"1986.month.summer",0,0,0,0,0,0,0,628,0,357,0,0,0,0,0,0,0
"1986.month.fall",0,0,0,0,0,0,0,111,0,117,0,0,0,0,0,0,0
"1986.month.winter",0,0,0,0,0,0,0,0,0,1267,0,0,0,0,0,0,0
"1987.month.spring",0,0,0,0,0,0,0,220,0,678,0,0,0,0,0,0,0
"1987.month.summer",0,0,0,0,0,0,0,335,0,505,0,0,0,0,0,0,0
"1987.month.fall",0,0,0,0,0,0,0,485,0,335,0,0,0,0,0,0,0
"1987.month.winter",0,0,0,0,0,0,0,1,0,1803,0,0,0,0,0,0,0
"1988.month.spring",0,0,0,0,0,0,0,109,0,1100,0,0,0,0,0,0,0
"1988.month.summer",0,0,0,0,0,0,0,835,0,403,0,0,0,0,0,0,0
"1988.month.fall",0,0,0,0,0,0,0,912,0,210,0,0,0,0,0,0,0
"1988.month.winter",0,0,0,0,0,0,0,0,0,2038,0,0,0,0,0,0,0
"1989.month.spring",0,0,0,0,0,0,0,147,0,621,0,0,0,0,0,0,0
"1989.month.summer",0,0,0,0,0,0,0,750,0,438,0,0,0,0,0,0,0
"1989.month.fall",0,0,0,0,0,0,0,450,0,328,0,0,0,0,0,0,0
"1989.month.winter",0,0,0,0,0,0,0,0,0,1786,0,0,0,0,0,0,0
"1990.month.spring",0,0,0,0,0,0,0,161,0,780,0,0,0,0,0,0,0
"1990.month.summer",0,0,0,0,0,0,0,512,0,740,0,0,0,0,0,0,0
"1990.month.fall",0,0,0,0,0,0,0,599,0,760,0,0,0,0,0,0,0
"1990.month.winter",0,0,0,0,0,0,0,1,0,1484,0,0,0,0,0,0,0
"1991.month.spring",0,0,0,0,0,0,0,205,0,244,0,0,0,0,0,0,0
"1991.month.summer",0,0,0,0,0,0,0,619,0,158,0,0,0,0,0,0,0
"1991.month.fall",0,0,0,0,0,0,0,287,0,433,0,0,0,0,0,0,0
"1991.month.winter",0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0
"1992.month.spring",0,0,0,0,0,0,0,205,0,318,0,0,0,0,0,0,0
"1992.month.summer",0,0,0,0,0,0,0,370,0,382,0,0,0,0,0,0,0
