ID,ocean.region,brood_year,release_year,Median.month.release,N.released,n.year,n.month,ID_numb,loc.numb,start_year,col.numb.init,move_idx,spawn_time_fraction,origin_start_year_idx,log_N_ratio_mean,log_N_ratio_sd
Abernathy,LCOL,1977,1978,4.5,432152,1,11.5,1,7.1,1,7,7,0.33,1,-7,1.5
Abernathy,LCOL,1978,1979,4,112386,1,12,2,7.1,2,7,7,0.33,5,-7,1.5
Abernathy,LCOL,1979,1980,4,151226,1,12,3,7.1,3,7,7,0.33,9,-7,1.5
Abernathy,LCOL,1980,1981,4,82627,1,12,4,7.1,4,7,7,0.33,13,-7,1.5
Abernathy,LCOL,1981,1982,5,111412,1,11,5,7.1,5,7,7,0.33,17,-7,1.5
Abernathy,LCOL,1989,1990,2.5,44083,1,13.5,6,7.1,13,7,7,0.33,49,-7,1.5
Abernathy,LCOL,1990,1991,4,45299,1,12,7,7.1,14,7,7,0.33,53,-7,1.5
Abernathy,LCOL,1991,1992,4,259425,1,12,8,7.1,15,7,7,0.33,57,-7,1.5
Abernathy,LCOL,1992,1993,4,293359,1,12,9,7.1,16,7,7,0.33,61,-7,1.5
Abernathy,LCOL,1993,1994,4,141745,1,12,10,7.1,17,7,7,0.33,65,-7,1.5
Abernathy,LCOL,1994,1995,3,45802,1,13,11,7.1,18,7,7,0.33,69,-7,1.5
Big Creek_large,SAB,1982,1983,8,97796,1,8,12,7.05,6,6,6,0.33,21,-7,1.5
Big Creek_large,SAB,1983,1984,8,114492,1,8,13,7.05,7,6,6,0.33,25,-7,1.5
Big Creek_large,SAB,1984,1985,7.5,98850,1,8.5,14,7.05,8,6,6,0.33,29,-7,1.5
Big Creek_large,SAB,1985,1986,8,145544,1,8,15,7.05,9,6,6,0.33,33,-7,1.5
Big Creek_large,SAB,1986,1987,8,156574,1,8,16,7.05,10,6,6,0.33,37,-7,1.5
Big Creek_large,SAB,1987,1988,8,148571,1,8,17,7.05,11,6,6,0.33,41,-7,1.5
Big Creek_large,SAB,1988,1989,6.5,155334,1,9.5,18,7.05,12,6,6,0.33,45,-7,1.5
Big Creek_large,SAB,1989,1990,7,152691,1,9,19,7.05,13,6,6,0.33,49,-7,1.5
Big Creek_large,SAB,1990,1991,7.5,153009,1,8.5,20,7.05,14,6,6,0.33,53,-7,1.5
Big Creek_large,SAB,1991,1992,8,155817,1,8,21,7.05,15,6,6,0.33,57,-7,1.5
Big Creek_large,SAB,1992,1993,8,104250,1,8,22,7.05,16,6,6,0.33,61,-7,1.5
Big Creek_large,SAB,1993,1994,8,109048,1,8,23,7.05,17,6,6,0.33,65,-7,1.5
Big Creek_large,SAB,1994,1995,8,105325,1,8,24,7.05,18,6,6,0.33,69,-7,1.5
Big Creek_large,SAB,1995,1996,7.5,52113,1,8.5,25,7.05,19,6,6,0.33,73,-7,1.5
Big Creek_large,SAB,1999,2000,8.5,54001,1,7.5,26,7.05,23,6,6,0.33,89,-7,1.5
Big Creek_large,SAB,2002,2003,8,27298,1,8,27,7.05,26,6,6,0.33,101,-7,1.5
Big Creek_large,SAB,2003,2004,7.5,54598,1,8.5,28,7.05,27,6,6,0.33,105,-7,1.5
Big Creek_large,SAB,2004,2005,8,29321,1,8,29,7.05,28,6,6,0.33,109,-7,1.5
Big Creek_small,LCOL,1977,1978,5,211631,1,11,30,7.1,1,7,7,0.33,1,-7,1.5
Big Creek_small,LCOL,1978,1979,5,224859,1,11,31,7.1,2,7,7,0.33,5,-7,1.5
Big Creek_small,LCOL,1979,1980,5,187248,1,11,32,7.1,3,7,7,0.33,9,-7,1.5
Big Creek_small,LCOL,1980,1981,5,196176,1,11,33,7.1,4,7,7,0.33,13,-7,1.5
Big Creek_small,LCOL,1981,1982,5,131234,1,11,34,7.1,5,7,7,0.33,17,-7,1.5
Big Creek_small,LCOL,1986,1987,3.5,309516,1,12.5,35,7.1,10,7,7,0.33,37,-7,1.5
Big Creek_small,LCOL,1987,1988,4.5,313024,1,11.5,36,7.1,11,7,7,0.33,41,-7,1.5
Big Creek_small,LCOL,1988,1989,4.5,316016,1,11.5,37,7.1,12,7,7,0.33,45,-7,1.5
Big Creek_small,LCOL,1989,1990,4.5,108268,1,11.5,38,7.1,13,7,7,0.33,49,-7,1.5
Big Creek_small,LCOL,1990,1991,4,155349,1,12,39,7.1,14,7,7,0.33,53,-7,1.5
Big Creek_small,LCOL,1991,1992,4,160001,1,12,40,7.1,15,7,7,0.33,57,-7,1.5
Big Creek_small,LCOL,1992,1993,4.5,105966,1,11.5,41,7.1,16,7,7,0.33,61,-7,1.5
Big Creek_small,LCOL,1993,1994,4,105425,1,12,42,7.1,17,7,7,0.33,65,-7,1.5
Big Creek_small,LCOL,1994,1995,4.5,158756,1,11.5,43,7.1,18,7,7,0.33,69,-7,1.5
Big Creek_small,LCOL,1996,1997,5,217574,1,11,44,7.1,20,7,7,0.33,77,-7,1.5
Big Creek_small,LCOL,1997,1998,4,218967,1,12,45,7.1,21,7,7,0.33,81,-7,1.5
Big Creek_small,LCOL,1998,1999,5,225527,1,11,46,7.1,22,7,7,0.33,85,-7,1.5
Big Creek_small,LCOL,1999,2000,5,215198,1,11,47,7.1,23,7,7,0.33,89,-7,1.5
Big Creek_small,LCOL,2000,2001,5,224267,1,11,48,7.1,24,7,7,0.33,93,-7,1.5
Big Creek_small,LCOL,2001,2002,5,217191,1,11,49,7.1,25,7,7,0.33,97,-7,1.5
Big Creek_small,LCOL,2002,2003,5,213910,1,11,50,7.1,26,7,7,0.33,101,-7,1.5
Big Creek_small,LCOL,2003,2004,5,225582,1,11,51,7.1,27,7,7,0.33,105,-7,1.5
Big Creek_small,LCOL,2004,2005,5,223507,1,11,52,7.1,28,7,7,0.33,109,-7,1.5
Big Creek_small,LCOL,2005,2006,5,230174,1,11,53,7.1,29,7,7,0.33,113,-7,1.5
Big Creek_small,LCOL,2006,2007,5,222476,1,11,54,7.1,30,7,7,0.33,117,-7,1.5
Big Creek_small,LCOL,2007,2008,5,227193,1,11,55,7.1,31,7,7,0.33,121,-7,1.5
Big Creek_small,LCOL,2008,2009,5,225164,1,11,56,7.1,32,7,7,0.33,125,-7,1.5
Big Creek_small,LCOL,2009,2010,4,225945,1,12,57,7.1,33,7,7,0.33,129,-7,1.5
Big Qualicum,SGEO_N,1977,1978,6,189819,1,10,58,11.75,1,15,15,0.33,1,-7,1.5
Big Qualicum,SGEO_N,1978,1979,6,220713,1,10,59,11.75,2,15,15,0.33,5,-7,1.5
Big Qualicum,SGEO_N,1979,1980,6,249577,1,10,60,11.75,3,15,15,0.33,9,-7,1.5
Big Qualicum,SGEO_N,1980,1981,5.5,121085,1,10.5,61,11.75,4,15,15,0.33,13,-7,1.5
Big Qualicum,SGEO_N,1981,1982,6,102173,1,10,62,11.75,5,15,15,0.33,17,-7,1.5
Big Qualicum,SGEO_N,1982,1983,6,77057,1,10,63,11.75,6,15,15,0.33,21,-7,1.5
Big Qualicum,SGEO_N,1983,1984,6,199439,1,10,64,11.75,7,15,15,0.33,25,-7,1.5
Big Qualicum,SGEO_N,1984,1985,5.5,252994,1,10.5,65,11.75,8,15,15,0.33,29,-7,1.5
Big Qualicum,SGEO_N,1985,1986,6,208713,1,10,66,11.75,9,15,15,0.33,33,-7,1.5
Big Qualicum,SGEO_N,1986,1987,5,207451,1,11,67,11.75,10,15,15,0.33,37,-7,1.5
Big Qualicum,SGEO_N,1987,1988,5,208379,1,11,68,11.75,11,15,15,0.33,41,-7,1.5
Big Qualicum,SGEO_N,1988,1989,5.5,256292,1,10.5,69,11.75,12,15,15,0.33,45,-7,1.5
Big Qualicum,SGEO_N,1989,1990,5,210991,1,11,70,11.75,13,15,15,0.33,49,-7,1.5
Big Qualicum,SGEO_N,1990,1991,5.5,271731,1,10.5,71,11.75,14,15,15,0.33,53,-7,1.5
Big Qualicum,SGEO_N,1991,1992,5,191562,1,11,72,11.75,15,15,15,0.33,57,-7,1.5
Big Qualicum,SGEO_N,1992,1993,5.5,210668,1,10.5,73,11.75,16,15,15,0.33,61,-7,1.5
Big Qualicum,SGEO_N,1993,1994,5,208905,1,11,74,11.75,17,15,15,0.33,65,-7,1.5
Big Qualicum,SGEO_N,1994,1995,5.5,209532,1,10.5,75,11.75,18,15,15,0.33,69,-7,1.5
Big Qualicum,SGEO_N,1995,1996,5.5,217299,1,10.5,76,11.75,19,15,15,0.33,73,-7,1.5
Big Qualicum,SGEO_N,1996,1997,5.5,209831,1,10.5,77,11.75,20,15,15,0.33,77,-7,1.5
Big Qualicum,SGEO_N,1997,1998,5,201752,1,11,78,11.75,21,15,15,0.33,81,-7,1.5
Big Qualicum,SGEO_N,1998,1999,5,203266,1,11,79,11.75,22,15,15,0.33,85,-7,1.5
Big Qualicum,SGEO_N,1999,2000,5,202938,1,11,80,11.75,23,15,15,0.33,89,-7,1.5
Big Qualicum,SGEO_N,2000,2001,5,218427,1,11,81,11.75,24,15,15,0.33,93,-7,1.5
Big Qualicum,SGEO_N,2001,2002,5,215705,1,11,82,11.75,25,15,15,0.33,97,-7,1.5
Big Qualicum,SGEO_N,2002,2003,5,219711,1,11,83,11.75,26,15,15,0.33,101,-7,1.5
Big Qualicum,SGEO_N,2003,2004,5,201203,1,11,84,11.75,27,15,15,0.33,105,-7,1.5
Big Qualicum,SGEO_N,2004,2005,5,215004,1,11,85,11.75,28,15,15,0.33,109,-7,1.5
Big Qualicum,SGEO_N,2005,2006,5,223084,1,11,86,11.75,29,15,15,0.33,113,-7,1.5
Big Qualicum,SGEO_N,2006,2007,5,199619,1,11,87,11.75,30,15,15,0.33,117,-7,1.5
Big Qualicum,SGEO_N,2007,2008,5,205857,1,11,88,11.75,31,15,15,0.33,121,-7,1.5
Big Qualicum,SGEO_N,2008,2009,5,203540,1,11,89,11.75,32,15,15,0.33,125,-7,1.5
Big Qualicum,SGEO_N,2009,2010,7,549747,1,9,90,11.75,33,15,15,0.33,129,-7,1.5
Bonneville_late,MCOL,1977,1978,10,89260,1,6,91,7.25,1,8,8,0.33,1,-7,1.5
Bonneville_late,MCOL,1977,1979,3,32745,2,1,92,7.25,1,8,8,0.33,1,-7,1.5
Bonneville_late,MCOL,1978,1979,11,51227,1,5,93,7.25,2,8,8,0.33,5,-7,1.5
Bonneville_late,MCOL,1978,1980,3,49334,2,1,94,7.25,2,8,8,0.33,5,-7,1.5
Bonneville_late,MCOL,1979,1980,8.5,151991,1,7.5,95,7.25,3,8,8,0.33,9,-7,1.5
Bonneville_late,MCOL,1980,1981,7,302368,1,9,96,7.25,4,8,8,0.33,13,-7,1.5
Bonneville_late,MCOL,1980,1982,3,50553,2,1,97,7.25,4,8,8,0.33,13,-7,1.5
Bonneville_late,MCOL,1981,1982,8,309126,1,8,98,7.25,5,8,8,0.33,17,-7,1.5
Bonneville_late,MCOL,1981,1983,3,49918,2,1,99,7.25,5,8,8,0.33,17,-7,1.5
Bonneville_late,MCOL,1982,1983,6,299504,1,10,100,7.25,6,8,8,0.33,21,-7,1.5
Bonneville_late,MCOL,1983,1984,8,254956,1,8,101,7.25,7,8,8,0.33,25,-7,1.5
Bonneville_late,MCOL,1983,1985,3,51960,2,1,102,7.25,7,8,8,0.33,25,-7,1.5
Bonneville_late,MCOL,1984,1986,2,50346,2,2,103,7.25,8,8,8,0.33,29,-7,1.5
Bonneville_late,MCOL,1985,1986,10,379672,1,6,104,7.25,9,8,8,0.33,33,-7,1.5
Bonneville_late,MCOL,1985,1987,3,47943,2,1,105,7.25,9,8,8,0.33,33,-7,1.5
Bonneville_late,MCOL,1986,1987,11,318439,1,5,106,7.25,10,8,8,0.33,37,-7,1.5
Bonneville_late,MCOL,1987,1988,8,159156,1,8,107,7.25,11,8,8,0.33,41,-7,1.5
Bonneville_late,MCOL,1988,1989,6,201216,1,10,108,7.25,12,8,8,0.33,45,-7,1.5
Bonneville_late,MCOL,1989,1990,7,191509,1,9,109,7.25,13,8,8,0.33,49,-7,1.5
Bonneville_late,MCOL,1990,1991,6.5,437677,1,9.5,110,7.25,14,8,8,0.33,53,-7,1.5
Bonneville_late,MCOL,1991,1992,7,102163,1,9,111,7.25,15,8,8,0.33,57,-7,1.5
Bonneville_late,MCOL,1992,1993,7,97104,1,9,112,7.25,16,8,8,0.33,61,-7,1.5
Bonneville_late,MCOL,1993,1994,6.5,1108329,1,9.5,113,7.25,17,8,8,0.33,65,-7,1.5
Bonneville_late,MCOL,1994,1995,6.5,233782,1,9.5,114,7.25,18,8,8,0.33,69,-7,1.5
Bonneville_late,MCOL,1995,1996,6.5,239982,1,9.5,115,7.25,19,8,8,0.33,73,-7,1.5
Bonneville_late,MCOL,1996,1997,6.5,106199,1,9.5,116,7.25,20,8,8,0.33,77,-7,1.5
Bonneville_late,MCOL,1997,1998,6.5,114496,1,9.5,117,7.25,21,8,8,0.33,81,-7,1.5
Bonneville_late,MCOL,1998,1999,6.5,308770,1,9.5,118,7.25,22,8,8,0.33,85,-7,1.5
Bonneville_late,MCOL,1999,2000,7,320446,1,9,119,7.25,23,8,8,0.33,89,-7,1.5
Bonneville_late,MCOL,2000,2001,6.5,320274,1,9.5,120,7.25,24,8,8,0.33,93,-7,1.5
Bonneville_late,MCOL,2001,2002,6.5,109341,1,9.5,121,7.25,25,8,8,0.33,97,-7,1.5
Bonneville_late,MCOL,2002,2003,6.5,111100,1,9.5,122,7.25,26,8,8,0.33,101,-7,1.5
Bonneville_late,MCOL,2003,2004,6.5,105635,1,9.5,123,7.25,27,8,8,0.33,105,-7,1.5
Bonneville_late,MCOL,2004,2005,6.5,112038,1,9.5,124,7.25,28,8,8,0.33,109,-7,1.5
Bonneville_late,MCOL,2005,2006,7,107367,1,9,125,7.25,29,8,8,0.33,113,-7,1.5
Bonneville_late,MCOL,2006,2007,6.5,97558,1,9.5,126,7.25,30,8,8,0.33,117,-7,1.5
Bonneville_late,MCOL,2007,2008,6.5,103907,1,9.5,127,7.25,31,8,8,0.33,121,-7,1.5
Bonneville_late,MCOL,2008,2009,7,55160,1,9,128,7.25,32,8,8,0.33,125,-7,1.5
Bonneville_late,MCOL,2009,2010,7,52535,1,9,129,7.25,33,8,8,0.33,129,-7,1.5
Bonneville_small,LCOL,1989,1990,5,52034,1,11,130,7.1,13,7,7,0.33,49,-7,1.5
Bonneville_small,LCOL,1990,1991,5,50358,1,11,131,7.1,14,7,7,0.33,53,-7,1.5
Bonneville_small,LCOL,1991,1992,5,106605,1,11,132,7.1,15,7,7,0.33,57,-7,1.5
Bonneville_small,LCOL,1994,1995,4,80726,1,12,133,7.1,18,7,7,0.33,69,-7,1.5
Bonneville_small,LCOL,2008,2009,5,163683,1,11,134,7.1,32,7,7,0.33,125,-7,1.5
Bonneville_small,LCOL,2009,2010,5,169767,1,11,135,7.1,33,7,7,0.33,129,-7,1.5
Chehalis,SGEO_S,1982,1983,5.5,143075,1,10.5,136,11.25,6,14,14,0.33,21,-7,1.5
Chehalis,SGEO_S,1983,1984,5.5,193884,1,10.5,137,11.25,7,14,14,0.33,25,-7,1.5
Chehalis,SGEO_S,1984,1985,6,132264,1,10,138,11.25,8,14,14,0.33,29,-7,1.5
Chehalis,SGEO_S,1985,1986,6,201835,1,10,139,11.25,9,14,14,0.33,33,-7,1.5
Chehalis,SGEO_S,1985,1987,3,38595,2,1,140,11.25,9,14,14,0.33,33,-7,1.5
Chehalis,SGEO_S,1986,1987,4.5,204009,1,11.5,141,11.25,10,14,14,0.33,37,-7,1.5
Chehalis,SGEO_S,1987,1988,5,132636,1,11,142,11.25,11,14,14,0.33,41,-7,1.5
Chehalis,SGEO_S,1988,1989,6,79377,1,10,143,11.25,12,14,14,0.33,45,-7,1.5
Chehalis,SGEO_S,1989,1990,8,93468,1,8,144,11.25,13,14,14,0.33,49,-7,1.5
Chehalis,SGEO_S,1990,1991,4.5,102235,1,11.5,145,11.25,14,14,14,0.33,53,-7,1.5
Chehalis,SGEO_S,1991,1992,4,106594,1,12,146,11.25,15,14,14,0.33,57,-7,1.5
Chehalis,SGEO_S,1992,1993,4,142583,1,12,147,11.25,16,14,14,0.33,61,-7,1.5
Chehalis,SGEO_S,1993,1994,4,148038,1,12,148,11.25,17,14,14,0.33,65,-7,1.5
Chehalis,SGEO_S,1994,1995,4.5,148740,1,11.5,149,11.25,18,14,14,0.33,69,-7,1.5
Chehalis,SGEO_S,1995,1996,5,141860,1,11,150,11.25,19,14,14,0.33,73,-7,1.5
Chehalis,SGEO_S,1996,1997,5.5,93111,1,10.5,151,11.25,20,14,14,0.33,77,-7,1.5
Chehalis,SGEO_S,1997,1998,5,137658,1,11,152,11.25,21,14,14,0.33,81,-7,1.5
Chehalis,SGEO_S,1998,1999,5,150083,1,11,153,11.25,22,14,14,0.33,85,-7,1.5
Chehalis,SGEO_S,1999,2000,5,95456,1,11,154,11.25,23,14,14,0.33,89,-7,1.5
Chehalis,SGEO_S,2000,2001,5,100089,1,11,155,11.25,24,14,14,0.33,93,-7,1.5
Chehalis,SGEO_S,2001,2002,5,102468,1,11,156,11.25,25,14,14,0.33,97,-7,1.5
Chehalis,SGEO_S,2002,2003,5,100042,1,11,157,11.25,26,14,14,0.33,101,-7,1.5
Chehalis,SGEO_S,2003,2004,5,114715,1,11,158,11.25,27,14,14,0.33,105,-7,1.5
Chehalis,SGEO_S,2005,2006,6,102312,1,10,159,11.25,29,14,14,0.33,113,-7,1.5
Chehalis,SGEO_S,2006,2007,5.5,205396,1,10.5,160,11.25,30,14,14,0.33,117,-7,1.5
Chehalis,SGEO_S,2007,2008,6,208179,1,10,161,11.25,31,14,14,0.33,121,-7,1.5
Chehalis,SGEO_S,2008,2009,6,195420,1,10,162,11.25,32,14,14,0.33,125,-7,1.5
Chehalis,SGEO_S,2009,2010,6,213243,1,10,163,11.25,33,14,14,0.33,129,-7,1.5
Chetco,SOR,1978,1979,10,27497,1,6,164,5,2,3,3,0.33,5,-7,1.5
Chetco,SOR,1979,1980,10,54938,1,6,165,5,3,3,3,0.33,9,-7,1.5
Chetco,SOR,1980,1981,10,55100,1,6,166,5,4,3,3,0.33,13,-7,1.5
Chetco,SOR,1981,1982,9.5,55198,1,6.5,167,5,5,3,3,0.33,17,-7,1.5
Chetco,SOR,1982,1983,9,30499,1,7,168,5,6,3,3,0.33,21,-7,1.5
Chetco,SOR,1983,1984,10,26570,1,6,169,5,7,3,3,0.33,25,-7,1.5
Chetco,SOR,1984,1985,10,26028,1,6,170,5,8,3,3,0.33,29,-7,1.5
Chetco,SOR,1986,1987,8,150125,1,8,171,5,10,3,3,0.33,37,-7,1.5
Chetco,SOR,1987,1988,9,26957,1,7,172,5,11,3,3,0.33,41,-7,1.5
Chetco,SOR,1988,1989,9.5,106921,1,6.5,173,5,12,3,3,0.33,45,-7,1.5
Chetco,SOR,1989,1990,9.5,78429,1,6.5,174,5,13,3,3,0.33,49,-7,1.5
Chetco,SOR,1990,1991,9.5,76396,1,6.5,175,5,14,3,3,0.33,53,-7,1.5
Chetco,SOR,1991,1992,10.5,68184,1,5.5,176,5,15,3,3,0.33,57,-7,1.5
Chetco,SOR,1992,1993,11,62728,1,5,177,5,16,3,3,0.33,61,-7,1.5
Chetco,SOR,1993,1994,9.5,76641,1,6.5,178,5,17,3,3,0.33,65,-7,1.5
Chetco,SOR,1994,1995,9.5,54055,1,6.5,179,5,18,3,3,0.33,69,-7,1.5
Chetco,SOR,1995,1996,9.5,45397,1,6.5,180,5,19,3,3,0.33,73,-7,1.5
Chetco,SOR,1996,1997,9,25050,1,7,181,5,20,3,3,0.33,77,-7,1.5
Chetco,SOR,1997,1998,9,26994,1,7,182,5,21,3,3,0.33,81,-7,1.5
Chetco,SOR,2000,2001,9,25587,1,7,183,5,24,3,3,0.33,93,-7,1.5
Chetco,SOR,2002,2003,9,26732,1,7,184,5,26,3,3,0.33,101,-7,1.5
Chetco,SOR,2003,2004,9,26331,1,7,185,5,27,3,3,0.33,105,-7,1.5
Chetco,SOR,2004,2005,9,27209,1,7,186,5,28,3,3,0.33,109,-7,1.5
Chetco,SOR,2005,2006,9,25091,1,7,187,5,29,3,3,0.33,113,-7,1.5
Chetco,SOR,2006,2007,9,26537,1,7,188,5,30,3,3,0.33,117,-7,1.5
Chilliwack,SGEO_S,1981,1982,6,74018,1,10,189,11.25,5,14,14,0.33,17,-7,1.5
Chilliwack,SGEO_S,1982,1983,6,73504,1,10,190,11.25,6,14,14,0.33,21,-7,1.5
Chilliwack,SGEO_S,1983,1984,5,76932,1,11,191,11.25,7,14,14,0.33,25,-7,1.5
Chilliwack,SGEO_S,1984,1985,6,87474,1,10,192,11.25,8,14,14,0.33,29,-7,1.5
Chilliwack,SGEO_S,1985,1986,6,36303,1,10,193,11.25,9,14,14,0.33,33,-7,1.5
Chilliwack,SGEO_S,1987,1988,5,49911,1,11,194,11.25,11,14,14,0.33,41,-7,1.5
