ocean.region,loc.spawn.idx,age.2,age.3,age.4,age.5,age.6
SFB,1,0.223487707,0.576282056,0.177957437,0.017856373,0.004416426
NCA,2,0.247180327,0.414447558,0.257337264,0.080034852,0.000999999
SOR,3,0.089086056,0.213906402,0.427445851,0.231047516,0.038514175
COR,4,0.089086056,0.213906402,0.427445851,0.231047516,0.038514175
NOR,5,0.089086056,0.213906402,0.427445851,0.231047516,0.038514175
SAB,6,0.116189473,0.492058334,0.363932718,0.025371377,0.002448097
LCOL,7,0.08819963,0.409930798,0.426644131,0.056308598,0.018916844
MCOL,8,0.038989554,0.188758169,0.497448152,0.250642099,0.024162027
SNAK,9,0.204004105,0.308892755,0.299661578,0.1469873,0.040454262
URB,10,0.069465594,0.208066579,0.499561909,0.211456385,0.011449533
WAC,11,0.015227531,0.196513593,0.406675838,0.329570217,0.052012821
PUSO_S,12,0.133791262,0.410264978,0.376527684,0.068694744,0.010721333
PUSO_N,13,0.064762404,0.239931472,0.293645932,0.366733549,0.034926644
SGEO_S,14,0.181517974,0.521269109,0.28017624,0.016020954,0.001015722
SGEO_N,15,0.129071641,0.329100023,0.394174942,0.115246077,0.032407316
SWVI,16,0.122764272,0.192416093,0.376252361,0.258269392,0.050297882
