ID,ocean.region,brood_year,release_year,N.released,n.month,start_year,ID_numb,year.reg,year.reg.idx,origin.idx,loc.spawn.idx
Abernathy,LCOL,1977,1978,432152,11.5,1,1,LCOL.1978,34,7,7
Abernathy,LCOL,1978,1979,112386,12,2,2,LCOL.1979,35,7,7
Abernathy,LCOL,1979,1980,151226,12,3,3,LCOL.1980,36,7,7
Abernathy,LCOL,1980,1981,82627,12,4,4,LCOL.1981,37,7,7
Abernathy,LCOL,1981,1982,111412,11,5,5,LCOL.1982,38,7,7
Abernathy,LCOL,1989,1990,44083,13.5,13,6,LCOL.1990,46,7,7
Abernathy,LCOL,1990,1991,45299,12,14,7,LCOL.1991,47,7,7
Abernathy,LCOL,1991,1992,259425,12,15,8,LCOL.1992,48,7,7
Abernathy,LCOL,1992,1993,293359,12,16,9,LCOL.1993,49,7,7
Abernathy,LCOL,1993,1994,141745,12,17,10,LCOL.1994,50,7,7
Abernathy,LCOL,1994,1995,45802,13,18,11,LCOL.1995,51,7,7
Big Creek_large,SAB,1982,1983,97796,8,6,12,SAB.1983,227,6,6
Big Creek_large,SAB,1983,1984,114492,8,7,13,SAB.1984,228,6,6
Big Creek_large,SAB,1984,1985,98850,8.5,8,14,SAB.1985,229,6,6
Big Creek_large,SAB,1985,1986,145544,8,9,15,SAB.1986,230,6,6
Big Creek_large,SAB,1986,1987,156574,8,10,16,SAB.1987,231,6,6
Big Creek_large,SAB,1987,1988,148571,8,11,17,SAB.1988,232,6,6
Big Creek_large,SAB,1988,1989,155334,9.5,12,18,SAB.1989,233,6,6
Big Creek_large,SAB,1989,1990,152691,9,13,19,SAB.1990,234,6,6
Big Creek_large,SAB,1990,1991,153009,8.5,14,20,SAB.1991,235,6,6
Big Creek_large,SAB,1991,1992,155817,8,15,21,SAB.1992,236,6,6
Big Creek_large,SAB,1992,1993,104250,8,16,22,SAB.1993,237,6,6
Big Creek_large,SAB,1993,1994,109048,8,17,23,SAB.1994,238,6,6
Big Creek_large,SAB,1994,1995,105325,8,18,24,SAB.1995,239,6,6
Big Creek_large,SAB,1995,1996,52113,8.5,19,25,SAB.1996,240,6,6
Big Creek_large,SAB,1999,2000,54001,7.5,23,26,SAB.2000,244,6,6
Big Creek_large,SAB,2002,2003,27298,8,26,27,SAB.2003,247,6,6
Big Creek_large,SAB,2003,2004,54598,8.5,27,28,SAB.2004,248,6,6
Big Creek_large,SAB,2004,2005,29321,8,28,29,SAB.2005,249,6,6
Big Creek_small,LCOL,1977,1978,211631,11,1,30,LCOL.1978,34,7,7
Big Creek_small,LCOL,1978,1979,224859,11,2,31,LCOL.1979,35,7,7
Big Creek_small,LCOL,1979,1980,187248,11,3,32,LCOL.1980,36,7,7
Big Creek_small,LCOL,1980,1981,196176,11,4,33,LCOL.1981,37,7,7
Big Creek_small,LCOL,1981,1982,131234,11,5,34,LCOL.1982,38,7,7
Big Creek_small,LCOL,1986,1987,309516,12.5,10,35,LCOL.1987,43,7,7
Big Creek_small,LCOL,1987,1988,313024,11.5,11,36,LCOL.1988,44,7,7
Big Creek_small,LCOL,1988,1989,316016,11.5,12,37,LCOL.1989,45,7,7
Big Creek_small,LCOL,1989,1990,108268,11.5,13,38,LCOL.1990,46,7,7
Big Creek_small,LCOL,1990,1991,155349,12,14,39,LCOL.1991,47,7,7
Big Creek_small,LCOL,1991,1992,160001,12,15,40,LCOL.1992,48,7,7
Big Creek_small,LCOL,1992,1993,105966,11.5,16,41,LCOL.1993,49,7,7
Big Creek_small,LCOL,1993,1994,105425,12,17,42,LCOL.1994,50,7,7
Big Creek_small,LCOL,1994,1995,158756,11.5,18,43,LCOL.1995,51,7,7
Big Creek_small,LCOL,1996,1997,217574,11,20,44,LCOL.1997,53,7,7
Big Creek_small,LCOL,1997,1998,218967,12,21,45,LCOL.1998,54,7,7
Big Creek_small,LCOL,1998,1999,225527,11,22,46,LCOL.1999,55,7,7
Big Creek_small,LCOL,1999,2000,215198,11,23,47,LCOL.2000,56,7,7
Big Creek_small,LCOL,2000,2001,224267,11,24,48,LCOL.2001,57,7,7
Big Creek_small,LCOL,2001,2002,217191,11,25,49,LCOL.2002,58,7,7
Big Creek_small,LCOL,2002,2003,213910,11,26,50,LCOL.2003,59,7,7
Big Creek_small,LCOL,2003,2004,225582,11,27,51,LCOL.2004,60,7,7
Big Creek_small,LCOL,2004,2005,223507,11,28,52,LCOL.2005,61,7,7
Big Creek_small,LCOL,2005,2006,230174,11,29,53,LCOL.2006,62,7,7
Big Creek_small,LCOL,2006,2007,222476,11,30,54,LCOL.2007,63,7,7
Big Creek_small,LCOL,2007,2008,227193,11,31,55,LCOL.2008,64,7,7
Big Creek_small,LCOL,2008,2009,225164,11,32,56,LCOL.2009,65,7,7
Big Creek_small,LCOL,2009,2010,225945,12,33,57,LCOL.2010,66,7,7
Big Qualicum,SGEO_N,1977,1978,189819,10,1,58,SGEO_N.1978,288,15,15
Big Qualicum,SGEO_N,1978,1979,220713,10,2,59,SGEO_N.1979,289,15,15
Big Qualicum,SGEO_N,1979,1980,249577,10,3,60,SGEO_N.1980,290,15,15
Big Qualicum,SGEO_N,1980,1981,121085,10.5,4,61,SGEO_N.1981,291,15,15
